text,body_len,punct%,cap_count,has_link,clean_text,label
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,145,6.45,2,0,ur cashbalance currently 500 pound maximize ur cashin send 86688 150pmsg cc 08718720201 hgsuite3422land roww1j6hl,spam
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),152,5.83,1,0,babe u want not u baby m nasty thing 4 filthyguy fancy rude time sexy bitch slo n hard txt xxx slo4msgs,spam
"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",136,2.68,0,0,get job hospital datum analysis start monday sure thesis got finish,ham
Wat time do u wan 2 meet me later?,34,3.85,0,0,wat time u wan 2 meet later,ham
After the drug she will be able to eat.,39,3.23,0,0,drug able eat,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,136,5.22,0,0,request maangalyam alaipayuthe set callertune caller press 9 copy friend callertune,ham
Tell dear what happen to you. Why you talking to me like an alian,65,1.92,0,0,tell dear happen talk like alian,ham
U too...,8,42.86,0,0,u,ham
Gibbs unsold.mike hussey,24,4.55,0,0,gibbs unsoldmike hussey,ham
Thought praps you meant another one. Goodo! I'll look tomorrow ,63,5.66,0,0,thought prap mean goodo ill look tomorrow,ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,90,4.0,4,0,want explicit sex 30 sec ring 02073162414 cost 20pmin gsex pobox 2667 wc1n 3xx,spam
Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,116,17.2,0,0,let pool money buy bunch lotto ticket win u deal,ham
Where's my boytoy? I miss you ... What happened?,48,15.0,0,0,s boytoy miss happen,ham
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",158,2.36,4,0,free ringtone text 87131 poly text 87131 true tone help 0845 2814032 16 1st free tone 3xå£150pw eå£nd txt stop,spam
I dont know oh. Hopefully this month.,37,6.45,0,0,not know oh hopefully month,ham
Lol enjoy role playing much?,28,4.17,0,0,lol enjoy role play,ham
I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,110,3.45,0,0,tot u outside cos darren u come shop course nice wat jus go sim lim look mp3 player,ham
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,145,4.88,4,0,hard live 121 chat 60pmin choose girl connect live 09094646899 cheap chat uks big live service vu bcm1896wc1n3xx,spam
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,90,4.17,0,0,texte finish long time ago shower erythe,ham
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,106,4.6,0,0,fact clean show know m upset priority constantly want,ham
Nt joking seriously i told,26,0.0,0,0,not joke seriously tell,ham
Hey u still at the gym?,23,5.56,0,0,hey u gym,ham
I'll reach in ard 20 mins ok...,31,16.0,0,0,ill reach ard 20 min ok,ham
My exam is for february 4. Wish you a great day.,48,5.26,0,0,exam february 4 wish great day,ham
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",77,7.69,0,0,good good billy mate go jog enjoy concert,ham
"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",132,8.49,0,0,sorry miss babe late sleep hope enjoy drive lesson boytoy miss teasing kiss,ham
This weekend is fine (an excuse not to do too much decorating),62,3.92,0,0,weekend fine excuse decorate,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,134,7.69,2,0,private 2003 account statement show 800 unredeemed sim point 08718738001 identifier code 49557 expire 261104,spam
I'm really sorry I lit your hair on fire,40,3.12,0,0,m sorry light hair fire,ham
Of course. I guess god's just got me on hold right now.,55,6.82,0,0,course guess god get hold right,ham
Thanks for looking out for me. I really appreciate.,51,4.65,0,0,thank look appreciate,ham
I think its far more than that but find out. Check google maps for a place from your dorm.,90,2.78,0,0,think far find check google map place dorm,ham
"No I'm good for the movie, is it ok if I leave in an hourish?",61,6.38,0,0,m good movie ok leave hourish,ham
Yo! Howz u? girls never rang after india. L,43,8.57,0,0,yo howz u girl ring india l,ham
We're on the opposite side from where we dropped you off,56,2.17,0,0,opposite drop,ham
So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,104,0.0,0,0,specific regard jaklin idk fuck,ham
Now? I'm going out 4 dinner soon..,34,14.29,0,0,m go 4 dinner soon,ham
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082,139,1.77,2,0,thank 4 continued support question week enter u in2 draw 4 å£100 cash new president txt an 80082,spam
Dear got train and seat mine lower seat,39,0.0,0,0,dear get train seat low seat,ham
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,163,4.96,4,0,449071512431 urgent 2nd attempt contact uu win å£1250 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå£7 50,spam
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",157,9.68,0,0,babe fuck love know fuck good hear voice need crave not adore ahmad kiss,ham
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,72,6.56,0,0,howz painit come todaydo say ystrdayice medicine,ham
Ok then i will come to ur home after half an hour,49,0.0,0,0,ok come ur home half hour,ham
Ambrith..madurai..met u in arun dha marrge..remembr?,52,14.89,0,0,ambrithmaduraimet u arun dha marrgeremembr,ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",97,13.58,4,0,win 1000 cash 2000 prize claim call09050000327 tc rstm sw7 3ss 150ppm,spam
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,156,3.17,0,0,good afternoon boytoy go walk day police abstract wake miss babe,ham
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,84,9.23,0,0,u horrible gal u know dat go wif y n u come n ask,ham
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",148,6.67,3,0,sim subscriber select receive bonus deliver door txt word ok 88600 claim 150pmsg exp 30apr,spam
I had askd u a question some hours before. Its answer,53,2.33,0,0,askd u question hour answer,ham
"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",147,3.33,0,0,especially talk boston personal statement lol woulda change realize say nyc say boston,ham
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,95,5.06,1,0,s scotland hope show jjc tendency care live dream,ham
wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,156,6.82,0,0,wamma laidwant real doggin location send direct mobile join uks large dog network txt dog 69696 nownyt ec2a 3lp å£150msg,spam
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),125,10.0,1,0,nice line say broken heart plz not cum 1 time infront wise ll trust u good 9 t,ham
Come by our room at some point so we can iron out the plan for this weekend,75,0.0,0,0,come room point iron plan weekend,ham
Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,97,7.69,0,0,fyi m go to sporadically start like bc doin shit,ham
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",107,15.12,0,0,work ah den 6 plus lor u workin oso rite den orchard lor place liao,ham
aathi..where are you dear..,27,16.67,0,0,aathiwhere dear,ham
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,86,2.86,0,0,mark take forever pick prescription pain come,ham
So lets make it saturday or monday as per convenience.,54,2.22,0,0,let saturday monday convenience,ham
Did u got that persons story,28,0.0,0,0,u get person story,ham
Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,84,13.24,0,0,haha not angry practice real thing,ham
What is the plural of the noun research?,40,3.03,0,0,plural noun research,ham
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,78,3.28,0,0,walk hour 2 c u doesnåõt care y will not u believe m,ham
Who u talking about?,20,5.88,0,0,u talk,ham
"My sister in law, hope you are having a great month. Just saying hey. Abiola",76,4.84,0,0,sister law hope have great month say hey abiola,ham
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",157,2.99,1,0,thank ringtone order reference number x29 mobile charge 450 tone arrive customer service 09065989180,spam
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,143,5.74,4,0,hi 07734396839 ibh customer loyalty offer new nokia6600 mobile å£10 txtauctiontxt wordstart no81151 now4 t,spam
Yeah get the unlimited,22,0.0,0,0,yeah unlimited,ham
"K give me a sec, breaking a  &lt;#&gt;  at cstore",49,15.79,0,0,k sec break cstore,ham
Im good! I have been thinking about you...,42,11.43,0,0,m good think,ham
Yes princess! I want to please you every night. Your wish is my command...,74,8.2,0,0,yes princess want night wish command,ham
"Almost there, see u in a sec",28,4.55,0,0,u sec,ham
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",160,6.02,3,0,contract mobile 11 mnth late motorola nokia etc free double min text orange tariff text yes callback remove record,spam
Pls i wont belive god.not only jesus.,37,6.45,0,0,pls will not belive godnot jesus,ham
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,2.38,0,0,value customer pleased advise follow recent review mob award å£1500 bonus prize 09066364589,spam
Do you think i can move  &lt;#&gt;  in a week,45,14.71,0,0,think week,ham
"If you want to mapquest it or something look up \usf dogwood drive\""",68,5.36,0,0,want mapquest look usf dogwood drive,ham
"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",82,3.08,1,0,sweet 4u meet carlos gauge patty interest,ham
Too late. I said i have the website. I didn't i have or dont have the slippers,78,4.84,0,0,late say website not not slipper,ham
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,120,4.3,21,0,u miss u not 2 bit bored holiday want 2 bak 2 college sad not itxx,ham
Anything lor... U decide...,27,25.0,0,0,lor u decide,ham
I am taking you for italian food. How about a pretty dress with no panties? :),78,6.35,0,0,take italian food pretty dress panty,ham
Si si. I think ill go make those oreo truffles.,47,5.26,0,0,si si think ill oreo truffle,ham
\alright babe,13,8.33,0,0,alright babe,ham
"Don't worry, * is easy once have ingredients!",45,10.53,0,0,not worry easy ingredient,ham
Just now saw your message.it k da:),35,10.34,0,0,see messageit k da,ham
I will once i get home,22,0.0,0,0,home,ham
Mm i had my food da from out,28,0.0,0,0,mm food da,ham
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",148,12.8,1,0,living simple loving simple laughing simple winning tooo simple simple difficult gud nte,ham
Wa... U so efficient... Gee... Thanx...,39,35.29,0,0,wa u efficient gee thanx,ham
Really good:)dhanush rocks once again:),39,11.43,0,0,gooddhanush rock,ham
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,156,4.8,0,0,hi dear urgnt not know s problem not want work problem tell wate reply,ham
"No, but you told me you were going, before you got drunk!",57,6.52,0,0,tell go get drunk,ham
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,104,2.41,0,0,hate not accept single message,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,81,0.0,0,0,u ne convince tht possible witot hurt feel main,ham
"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",143,11.86,0,0,amazing quote life difficult decide s wrong lie bring smile truth bring tear,ham
I like dis sweater fr mango but no more my size already so irritating.,70,1.75,0,0,like dis sweater fr mango size irritate,ham
Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,86,4.35,0,0,ron fri leh n say ding tai feng not reservation say wait lor,ham
Do u noe how 2 send files between 2 computers?,46,2.7,0,0,u noe 2 send file 2 computer,ham
"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",81,7.46,0,0,sweet princess tell like dislike bed,ham
Watching telugu movie..wat abt u?,33,10.34,0,0,watch telugu moviewat abt u,ham
"Haha awesome, be there in a minute",34,3.57,0,0,haha awesome minute,ham
Most of the tiime when i don't let you hug me it's so i don't break into tears.,79,6.45,0,0,tiime not let hug not break tear,ham
"If i let you do this, i want you in the house by 8am.",53,5.0,0,0,let want house 8,ham
Then we wait 4 u lor... No need 2 feel bad lar...,49,15.79,0,0,wait 4 u lor need 2 feel bad lar,ham
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,115,6.45,0,0,2 oz guy kinda flaky friend interested pick worth tonight possible,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",153,5.65,2,0,7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st ur lovely friendship good morning dear,ham
"Total disappointment, when I texted you was the craziest shit got :(",68,5.26,0,0,total disappointment texte crazy shit get,ham
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,148,4.62,4,0,ur award city break win å£200 summer shopping spree wk txt store 88039skilgmetscs087147403231winawkage16å£150perwksub,spam
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",70,10.34,0,0,blimey exercise yeah kinda remember wot hmm,ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",161,7.35,1,0,congrat 2 mobile 3 g videophone r 09061744553 videochat wid ur mate play java games dload polyh music noline rentl bx420 ip4 5we 150pm,spam
"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",157,12.9,0,0,love know feel belly warm wish love shall meet dream ahmad adore kiss,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,10.4,1,0,enter cabin pa say happy bday boss feel special askd 4 lunch lunch invite apartment go,ham
Ringtone Club: Gr8 new polys direct to your mobile every week !,63,3.85,0,0,ringtone club gr8 new poly direct mobile week,spam
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,152,6.82,0,0,messagesome text miss sendername miss number miss sentdate miss miss u lot s y miss send fullonsmscom,ham
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",70,8.77,0,0,yo m parent gettin cash good news pick downstem,ham
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,83,8.96,0,0,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,ham
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,147,4.96,3,0,u secret admirer reveal think u r special 09065174042 opt reply reveal stop 150 msg recd cust care 07821230901,spam
Minimum walk is 3miles a day.,29,4.17,0,0,minimum walk 3miles day,ham
Normally i use to drink more water daily:),42,5.71,0,0,normally use drink water daily,ham
Sure! I am driving but will reach my destination soon.,54,4.44,0,0,sure drive reach destination soon,ham
Neva mind it's ok..,19,18.75,0,0,neva mind ok,ham
What * u wearing?,17,14.29,0,0,u wear,ham
i thought we were doing a king of the hill thing there.,55,2.27,0,0,think king hill thing,ham
What class of  &lt;#&gt;  reunion?,34,21.43,0,0,class reunion,ham
You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,159,2.27,0,0,winner specially select receive å£1000 cash å£2000 award speak live operator claim 087147123779am7pm cost 10p,spam
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,85,3.03,18,0,new year eve ok go party boyfriend si hey,ham
Esplanade lor. Where else...,28,16.0,0,0,esplanade lor,ham
I am taking half day leave bec i am not well,44,0.0,0,0,take half day leave bec,ham
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,96,5.13,1,0,tell coulda real valentine not u pick,ham
DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!,107,2.27,0,0,donû÷t fly monkey wot think certainly donû÷t mind friend,ham
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,91,5.33,0,0,plan go join company jan 5 onlydon know happen,ham
IÛ÷m going to try for 2 months ha ha only joking,49,0.0,0,0,iû÷m go try 2 month ha ha joke,ham
Is ur paper in e morn or aft tmr?,33,4.0,0,0,ur paper e morn aft tmr,ham
I didn't get the second half of that message,44,2.78,0,0,not second half message,ham
Should I tell my friend not to come round til like  &lt;#&gt; ish?,66,11.32,0,0,tell friend come round til like ish,ham
K..k..i'm also fine:)when will you complete the course?,55,16.67,0,0,kkim finewhen complete course,ham
Haf u found him? I feel so stupid da v cam was working.,55,4.65,0,0,haf u find feel stupid da v cam work,ham
What Today-sunday..sunday is holiday..so no work..,50,15.56,0,0,todaysundaysunday holidayso work,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,4.73,0,0,yeah get 2 v apologetic n fall actin like spoilt child get catch till 2 will not badly cheer,ham
I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?,109,10.59,2,0,forget 2 ask ì smth s card da present lei ìï want 2 write smth sign,ham
"\Pete can you please ring meive hardly gotany credit\""""",55,8.51,0,0,pete ring meive hardly gotany credit,ham
Haha... They cant what... At the most tmr forfeit... haha so how?,65,18.52,0,0,haha not tmr forfeit haha,ham
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",160,3.28,0,0,smse u n xy lor sorry lor da guy neva c u person sort know u lor u wan 2 meet xy ask 2 bring u 4 meeting,ham
I know she called me,20,0.0,0,0,know call,ham
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,158,7.26,3,0,hi m sue 20 year old work lapdancer love sex text live m bedroom text sue 89555 textoperator g2 1da 150ppmsg 18,spam
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,108,6.9,0,0,miss cause yell scrappy miss u not wait u come home m lonely today,ham
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,153,5.6,6,0,sport fan late sport news str 2 ur mobile 1 wk free plus free tone txt sport 8007 0870141701216 norm 4txt120p,spam
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,159,4.0,0,0,yeah think use gt atm register sure s help let know sure ready,ham
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",155,4.03,0,0,hello hello hi lou sorry take long 2 reply leave mobile friend lancaster get bak neway m sorry couldnåõt ur båõday 2 hun,ham
"Yes but i dont care! I need you bad, princess!",46,8.11,0,0,yes not care need bad princess,ham
It should take about  &lt;#&gt;  min,36,17.24,0,0,min,ham
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,57,8.89,0,0,hi will not b ard 4 christma enjoy n merry xmas,ham
Its too late:)but its k.wish you the same.,42,11.43,0,0,latebut kwish,ham
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",124,2.97,2,0,hi sexychat girl wait text text great night chat send stop stop service,spam
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,4.55,0,0,pls ahead watt want sure great weekend abiola,ham
O. Guess they both got screwd,29,4.17,1,0,o guess get screwd,ham
"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",143,5.17,2,0,edison rightly say fool ask question wise man answer know speechless viva gm,ham
"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",115,5.38,0,0,jus hope true missin cos m missin not feel guilty,ham
Oh:)as usual vijay film or its different?,41,8.57,0,0,ohas usual vijay film different,ham
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",289,8.05,4,0,sister belong 2 family d hope tomorrow pray 4 herwho fat 4 d shoranur train incident let hold hand fuel love concern prior 2 grief pain pls join dis chain pass stop violence woman,ham
I know you are. Can you pls open the back?,42,6.06,0,0,know pls open,ham
